year,month,carbon_price,trading_volume,trading_value,market_type
2017,1,56.97,2312073.0,131.73,全国碳市场
2017,2,57.24,3342376.0,191.32,全国碳市场
2017,3,34.04,4400949.0,149.81,全国碳市场
2017,4,34.43,2887947.0,99.45,全国碳市场
2017,5,41.05,3570006.0,146.54,全国碳市场
2017,6,43.09,3567703.0,153.72,全国碳市场
2017,7,34.51,1539789.0,53.14,全国碳市场
2017,8,35.72,4428866.0,158.2,全国碳市场
2017,9,35.29,1572461.0,55.5,全国碳市场
2017,10,31.99,1984494.0,63.49,全国碳市场
2017,11,60.56,1516234.0,91.82,全国碳市场
2017,12,42.83,1788828.0,76.61,全国碳市场
2018,1,60.95,1865829.0,113.73,全国碳市场
2018,2,54.92,1450951.0,79.69,全国碳市场
2018,3,41.46,1651602.0,68.47,全国碳市场
2018,4,40.9,3249193.0,132.89,全国碳市场
2018,5,41.67,3373334.0,140.56,全国碳市场
2018,6,37.12,4305730.0,159.82,全国碳市场
2018,7,31.49,1368489.0,43.09,全国碳市场
2018,8,36.57,3956655.0,144.68,全国碳市场
2018,9,33.16,1926287.0,63.88,全国碳市场
2018,10,44.03,1301692.0,57.32,全国碳市场
2018,11,44.13,3063774.0,135.2,全国碳市场
2018,12,59.49,1901891.0,113.15,全国碳市场
2019,1,40.36,2488434.0,100.44,全国碳市场
2019,2,42.48,2791738.0,118.6,全国碳市场
2019,3,40.7,4992748.0,203.22,全国碳市场
2019,4,31.27,3358542.0,105.03,全国碳市场
2019,5,43.4,1744810.0,75.73,全国碳市场
2019,6,40.69,4899512.0,199.37,全国碳市场
2019,7,35.44,1379047.0,48.88,全国碳市场
2019,8,42.89,3669269.0,157.37,全国碳市场
2019,9,40.25,2553939.0,102.81,全国碳市场
2019,10,28.93,1543838.0,44.66,全国碳市场
2019,11,48.95,1035998.0,50.71,全国碳市场
2019,12,42.36,2157056.0,91.37,全国碳市场
2020,1,38.98,3626017.0,141.35,全国碳市场
2020,2,48.17,2533444.0,122.04,全国碳市场
2020,3,38.19,4400689.0,168.08,全国碳市场
2020,4,42.66,4994754.0,213.09,全国碳市场
2020,5,43.76,3418950.0,149.61,全国碳市场
2020,6,36.3,1403065.0,50.93,全国碳市场
2020,7,43.9,4304385.0,188.94,全国碳市场
2020,8,38.88,2572595.0,100.03,全国碳市场
2020,9,29.87,4505144.0,134.55,全国碳市场
2020,10,46.12,1086044.0,50.08,全国碳市场
2020,11,58.91,3495824.0,205.94,全国碳市场
2020,12,58.22,1175600.0,68.44,全国碳市场
2021,1,39.65,4236286.0,167.96,全国碳市场
2021,2,41.09,4919500.0,202.13,全国碳市场
2021,3,42.0,1661708.0,69.78,全国碳市场
2021,4,37.46,3716453.0,139.21,全国碳市场
2021,5,41.47,3867032.0,160.36,全国碳市场
2021,6,31.26,2624563.0,82.04,全国碳市场
2021,7,32.24,4289754.0,138.31,全国碳市场
2021,8,46.16,3710930.0,171.3,全国碳市场
2021,9,46.14,3418236.0,157.73,全国碳市场
2021,10,38.34,1248987.0,47.88,全国碳市场
2021,11,59.21,2306116.0,136.54,全国碳市场
2021,12,49.7,3005499.0,149.36,全国碳市场
2022,1,57.2,1744700.0,99.79,全国碳市场
2022,2,46.97,1350673.0,63.44,全国碳市场
2022,3,42.11,4399976.0,185.27,全国碳市场
2022,4,46.47,2891792.0,134.37,全国碳市场
2022,5,45.21,1830519.0,82.76,全国碳市场
2022,6,43.46,4592387.0,199.58,全国碳市场
2022,7,45.04,1781609.0,80.25,全国碳市场
2022,8,44.98,3949746.0,177.67,全国碳市场
2022,9,40.88,2720305.0,111.21,全国碳市场
2022,10,39.78,3331413.0,132.52,全国碳市场
2022,11,45.58,1127890.0,51.4,全国碳市场
2022,12,50.81,2658307.0,135.08,全国碳市场
2023,1,52.53,3254830.0,170.98,全国碳市场
2023,2,39.79,4811580.0,191.43,全国碳市场
2023,3,35.46,1240547.0,43.98,全国碳市场
2023,4,34.85,4144776.0,144.44,全国碳市场
2023,5,46.36,3974611.0,184.27,全国碳市场
2023,6,41.98,3964196.0,166.43,全国碳市场
2023,7,45.08,2666336.0,120.21,全国碳市场
2023,8,40.89,3584766.0,146.59,全国碳市场
2023,9,46.38,4477379.0,207.68,全国碳市场
2023,10,32.98,1463779.0,48.28,全国碳市场
2023,11,56.51,2287800.0,129.28,全国碳市场
2023,12,44.4,1876510.0,83.31,全国碳市场
2024,1,43.04,2658117.0,114.4,全国碳市场
2024,2,44.23,2141064.0,94.69,全国碳市场
2024,3,29.78,1032713.0,30.75,全国碳市场
2024,4,46.63,1402211.0,65.39,全国碳市场
2024,5,41.76,4755394.0,198.6,全国碳市场
2024,6,40.38,2160170.0,87.24,全国碳市场
2024,7,29.15,3951639.0,115.2,全国碳市场
2024,8,34.41,1811578.0,62.34,全国碳市场
2024,9,40.92,3205707.0,131.19,全国碳市场
2024,10,42.99,3299954.0,141.87,全国碳市场
2024,11,49.68,4658090.0,231.4,全国碳市场
2024,12,46.78,1692203.0,79.16,全国碳市场
